epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.59778,1.03882,2.72423,1.2897,0.60895,0.8662,0.8878,0.62034,1.39371,1.28775,1.2462,0,0,0
2,2.00745,1.24861,2.96403,1.61826,0.58608,0.88435,0.88774,0.61686,1.40393,1.30592,1.2536,1.17822e-06,1.17822e-06,1.17822e-06
3,2.23104,1.30423,2.77289,1.56652,0.56739,0.88144,0.88809,0.60737,1.42768,1.32791,1.26251,2.33288e-06,2.33288e-06,2.33288e-06
4,2.50106,1.04559,2.67018,1.28638,0.54685,0.83333,0.83293,0.58211,1.45115,1.36454,1.26891,3.46397e-06,3.46397e-06,3.46397e-06
5,2.84696,1.12436,2.98283,1.51773,0.84687,0.57679,0.87397,0.58231,1.47186,1.41336,1.2839,4.5715e-06,4.5715e-06,4.5715e-06
6,3.15749,1.02822,2.21839,1.30466,0.82808,0.56667,0.87229,0.58121,1.48677,1.48203,1.30013,5.65548e-06,5.65548e-06,5.65548e-06
7,3.51187,1.51284,3.72126,1.82839,0.83483,0.58009,0.8854,0.57455,1.49856,1.56002,1.31784,6.71588e-06,6.71588e-06,6.71588e-06
8,3.77697,1.30357,3.21967,1.74532,0.80529,0.56667,0.8552,0.55395,1.51404,1.62766,1.33339,7.75273e-06,7.75273e-06,7.75273e-06
9,4.05189,1.48861,2.7633,1.59316,0.80481,0.58159,0.7433,0.56772,1.53727,1.68536,1.35513,8.76602e-06,8.76602e-06,8.76602e-06
10,4.34206,1.25808,2.49405,1.55895,0.79256,0.58333,0.74333,0.54276,1.53354,1.71734,1.34567,9.75574e-06,9.75574e-06,9.75574e-06
11,4.66152,1.19694,1.89588,1.50306,0.79382,0.58333,0.74304,0.54995,1.52823,1.73879,1.3451,1.07219e-05,1.07219e-05,1.07219e-05
12,4.94729,1.3318,3.03646,1.59751,0.77232,0.58333,0.7434,0.5501,1.53458,1.7928,1.34865,1.16645e-05,1.16645e-05,1.16645e-05
13,5.20563,1.15832,2.63295,1.47339,0.74058,0.58333,0.74308,0.54162,1.52274,1.82476,1.34972,1.25835e-05,1.25835e-05,1.25835e-05
14,5.52202,1.08028,2.36137,1.39568,0.7477,0.58333,0.74297,0.54743,1.51953,1.82659,1.34847,1.3479e-05,1.3479e-05,1.3479e-05
15,5.83173,1.20019,2.70441,1.54897,0.76998,0.41667,0.74425,0.54761,1.52549,1.85038,1.35493,1.43509e-05,1.43509e-05,1.43509e-05
16,6.2045,1.03291,2.45719,1.34383,0.91135,0.37668,0.74437,0.52714,1.52804,1.87476,1.35603,1.51993e-05,1.51993e-05,1.51993e-05
17,6.51183,0.91323,2.9299,1.36479,0.90432,0.3801,0.57843,0.4187,1.53463,1.92259,1.36463,1.60241e-05,1.60241e-05,1.60241e-05
18,6.78397,0.91961,2.74075,1.30881,0.90432,0.3801,0.57843,0.4187,1.53463,1.92259,1.36463,1.68253e-05,1.68253e-05,1.68253e-05
19,7.0855,1.03596,2.27008,1.4556,0.90545,0.37195,0.57672,0.40224,1.5778,1.99263,1.39344,1.7603e-05,1.7603e-05,1.7603e-05
20,7.34543,1.10698,2.67792,1.43313,0.90545,0.37195,0.57672,0.40224,1.5778,1.99263,1.39344,1.83571e-05,1.83571e-05,1.83571e-05
21,7.66288,1.17057,2.43372,1.60143,0.90281,0.37188,0.57673,0.36966,1.61192,2.0593,1.41353,1.90876e-05,1.90876e-05,1.90876e-05
22,7.94806,1.08718,2.58051,1.50165,0.90281,0.37188,0.57673,0.36966,1.61192,2.0593,1.41353,1.97946e-05,1.97946e-05,1.97946e-05
23,8.29379,0.91289,1.9148,1.42234,0.89502,0.37207,0.57661,0.3768,1.66354,2.1355,1.45796,2.0478e-05,2.0478e-05,2.0478e-05
24,8.58009,0.79148,1.76107,1.2502,0.89502,0.37207,0.57661,0.3768,1.66354,2.1355,1.45796,2.11379e-05,2.11379e-05,2.11379e-05
25,8.91908,0.78938,1.64189,1.19445,0.89723,0.37166,0.47583,0.33249,1.70888,2.19366,1.48298,2.17741e-05,2.17741e-05,2.17741e-05
26,9.18416,1.1207,2.04639,1.35933,0.89723,0.37166,0.47583,0.33249,1.70888,2.19366,1.48298,2.23869e-05,2.23869e-05,2.23869e-05
27,9.50035,1.03682,1.56531,1.33413,0.90171,0.37156,0.45248,0.33814,1.71359,2.2259,1.49427,2.2976e-05,2.2976e-05,2.2976e-05
28,9.7963,1.14156,1.39605,1.41527,0.90171,0.37156,0.45248,0.33814,1.71359,2.2259,1.49427,2.35417e-05,2.35417e-05,2.35417e-05
29,10.0941,1.15198,2.0287,1.52109,0.90259,0.37132,0.44395,0.31212,1.73432,2.26555,1.5326,2.40837e-05,2.40837e-05,2.40837e-05
30,10.3542,0.83447,1.78319,1.37077,0.90259,0.37132,0.44395,0.31212,1.73432,2.26555,1.5326,2.46022e-05,2.46022e-05,2.46022e-05
31,10.6227,0.97704,2.08081,1.37668,0.9007,0.37083,0.44442,0.31122,1.75159,2.27553,1.55963,2.50971e-05,2.50971e-05,2.50971e-05
32,10.9011,0.92862,1.77562,1.44069,0.9007,0.37083,0.44442,0.31122,1.75159,2.27553,1.55963,2.55685e-05,2.55685e-05,2.55685e-05
33,11.2117,0.88124,1.0319,1.29944,0.90532,0.36997,0.43939,0.30614,1.80886,2.27221,1.60758,2.60163e-05,2.60163e-05,2.60163e-05
34,11.4769,1.05709,1.51555,1.29657,0.90532,0.36997,0.43939,0.30614,1.80886,2.27221,1.60758,2.64405e-05,2.64405e-05,2.64405e-05
35,11.7508,0.73214,1.15661,1.10005,0.9067,0.3702,0.43998,0.29829,1.8268,2.28886,1.63195,2.68412e-05,2.68412e-05,2.68412e-05
36,12.0073,0.7189,1.65949,1.22445,0.9067,0.3702,0.43998,0.29829,1.8268,2.28886,1.63195,2.72183e-05,2.72183e-05,2.72183e-05
37,12.2824,0.99112,1.52599,1.43847,0.90883,0.37096,0.4103,0.28672,1.85255,2.32815,1.6486,2.75718e-05,2.75718e-05,2.75718e-05
38,12.5547,0.94037,1.28617,1.19053,0.90883,0.37096,0.4103,0.28672,1.85255,2.32815,1.6486,2.79018e-05,2.79018e-05,2.79018e-05
39,12.8284,0.57897,1.00534,0.96865,0.90919,0.37067,0.4112,0.29556,1.83316,2.35883,1.63325,2.82082e-05,2.82082e-05,2.82082e-05
40,13.1281,0.93526,1.5048,1.36916,0.90919,0.37067,0.4112,0.29556,1.83316,2.35883,1.63325,2.84911e-05,2.84911e-05,2.84911e-05
41,13.4126,0.76058,0.8982,1.10209,0.91793,0.372,0.41081,0.29531,1.82039,2.35835,1.61228,2.87504e-05,2.87504e-05,2.87504e-05
42,13.6743,0.97469,1.18788,1.27159,0.91793,0.372,0.41081,0.29531,1.82039,2.35835,1.61228,2.89861e-05,2.89861e-05,2.89861e-05
43,13.9706,0.71433,1.20336,1.23755,0.92036,0.37171,0.41054,0.29667,1.80068,2.41316,1.58984,2.91983e-05,2.91983e-05,2.91983e-05
44,14.2514,1.05871,2.05489,1.41268,0.92036,0.37171,0.41054,0.29667,1.80068,2.41316,1.58984,2.93869e-05,2.93869e-05,2.93869e-05
45,14.5385,0.78044,1.20156,1.25257,0.92721,0.37242,0.41284,0.3168,1.81409,2.42671,1.58831,2.9552e-05,2.9552e-05,2.9552e-05
46,14.8266,1.02288,1.157,1.35362,0.92721,0.37242,0.41284,0.3168,1.81409,2.42671,1.58831,2.96935e-05,2.96935e-05,2.96935e-05
47,15.1341,1.1571,1.71436,1.45307,0.9306,0.37385,0.41356,0.31611,1.79789,2.39779,1.56934,2.98114e-05,2.98114e-05,2.98114e-05
48,15.399,0.82246,0.81815,1.25924,0.9306,0.37385,0.41356,0.31611,1.79789,2.39779,1.56934,2.99058e-05,2.99058e-05,2.99058e-05
49,15.6786,0.60642,0.97321,1.12692,0.93551,0.37472,0.41368,0.31726,1.80541,2.38185,1.5578,2.99766e-05,2.99766e-05,2.99766e-05
50,15.9444,0.79955,1.07641,1.21452,0.93551,0.37472,0.41368,0.31726,1.80541,2.38185,1.5578,3.00238e-05,3.00238e-05,3.00238e-05
51,16.2447,0.76528,0.94759,1.16304,0.95063,0.39016,0.41764,0.31759,1.82056,2.39393,1.57159,3.00475e-05,3.00475e-05,3.00475e-05
52,16.509,0.78612,1.29913,1.19943,0.95063,0.39016,0.41764,0.31759,1.82056,2.39393,1.57159,3.00476e-05,3.00476e-05,3.00476e-05
53,16.7875,0.70839,1.18271,1.11596,0.95063,0.39016,0.41764,0.31759,1.82056,2.39393,1.57159,3.00242e-05,3.00242e-05,3.00242e-05
54,17.0809,0.73372,0.92847,1.25529,0.95374,0.38864,0.42095,0.32606,1.81542,2.35988,1.55314,2.99772e-05,2.99772e-05,2.99772e-05
55,17.3483,0.66422,1.10214,1.09354,0.95374,0.38864,0.42095,0.32606,1.81542,2.35988,1.55314,2.99066e-05,2.99066e-05,2.99066e-05
56,17.6216,0.79177,1.11431,1.27421,0.95374,0.38864,0.42095,0.32606,1.81542,2.35988,1.55314,2.98125e-05,2.98125e-05,2.98125e-05
