epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.39347,3.42314,4.25419,4.26488,0.0013,0.23188,0.00154,0.00045,3.3462,4.28563,4.15822,0.0005,0.0005,0.0005
2,13.9512,3.27318,3.71267,3.91245,0.00139,0.23913,0.00147,0.00044,3.35367,4.27507,4.20396,0.000999804,0.000999804,0.000999804
3,17.875,3.06655,3.30601,3.5371,0.00465,0.44928,0.00423,0.0012,3.41526,3.68112,3.90287,0.00147902,0.00147902,0.00147902
4,21.7489,2.88499,3.10681,3.21934,0.18557,0.06522,0.05644,0.02464,3.0762,6.26658,3.51922,0.0018812,0.0018812,0.0018812
5,25.455,2.77671,2.9478,3.03752,0.04056,0.19565,0.02619,0.00975,2.79627,3.53303,3.03064,0.0018416,0.0018416,0.0018416
6,29.2882,2.72875,2.75198,2.923,0.06548,0.07246,0.03279,0.00851,2.88762,3.5748,3.72821,0.001802,0.001802,0.001802
7,33.01,2.59679,2.57401,2.83235,0.11145,0.11594,0.04677,0.01537,2.78153,3.88916,5.94167,0.0017624,0.0017624,0.0017624
8,36.7735,2.50544,2.5233,2.77782,0.28656,0.35507,0.17968,0.05364,2.44705,3.10047,2.79644,0.0017228,0.0017228,0.0017228
9,40.4161,2.47162,2.42904,2.69175,0.24469,0.27536,0.18212,0.06697,2.28741,2.47288,2.57643,0.0016832,0.0016832,0.0016832
10,44.0916,2.45795,2.43254,2.67089,0.22778,0.39855,0.19754,0.07273,2.29268,2.99688,2.51381,0.0016436,0.0016436,0.0016436
11,48.735,2.37158,2.29181,2.57948,0.22808,0.27536,0.17016,0.05154,2.52142,2.63529,2.67306,0.001604,0.001604,0.001604
12,52.4229,2.31661,2.25986,2.48695,0.38535,0.37681,0.32707,0.12097,2.25714,2.23951,2.49598,0.0015644,0.0015644,0.0015644
