epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.75069,1.80373,2.90476,1.66491,0.00385,0.75362,0.21659,0.08326,1.78123,3.51304,1.66016,0.0005,0.0005,0.0005
2,8.62824,1.78475,2.25938,1.54378,0.41578,0.15942,0.16799,0.07647,1.98201,3.38788,1.7144,0.000999804,0.000999804,0.000999804
3,12.5339,1.75934,2.18195,1.60302,0.34,0.32609,0.20276,0.09557,1.9097,3.60428,1.83042,0.00147902,0.00147902,0.00147902
4,16.3526,1.81291,2.09993,1.56409,0.36055,0.31884,0.25071,0.0848,2.08944,4.14908,1.79433,0.0018812,0.0018812,0.0018812
5,20.0708,1.80799,1.98845,1.55803,0.30523,0.41069,0.29713,0.11772,2.17047,2.30406,1.91797,0.0018416,0.0018416,0.0018416
6,24.0033,1.83139,1.8805,1.57446,0.28175,0.41304,0.21617,0.07217,2.27291,2.83354,2.12469,0.001802,0.001802,0.001802
7,27.7884,1.72688,1.81995,1.55913,0.47831,0.49275,0.45453,0.19564,2.0909,1.9468,1.79667,0.0017624,0.0017624,0.0017624
8,31.5234,1.7729,1.77003,1.57397,0.40658,0.51449,0.42731,0.16344,2.01663,1.9481,1.76201,0.0017228,0.0017228,0.0017228
9,35.2507,1.75306,1.68633,1.528,0.50471,0.6087,0.52577,0.22377,2.0091,1.79804,1.70144,0.0016832,0.0016832,0.0016832
10,39.0594,1.73377,1.61619,1.51038,0.56142,0.52899,0.50556,0.1975,1.99912,1.76829,1.70097,0.0016436,0.0016436,0.0016436
11,43.0788,1.73123,1.56624,1.51537,0.64127,0.55797,0.6119,0.25505,1.92768,1.65396,1.70766,0.001604,0.001604,0.001604
12,46.8998,1.65425,1.51073,1.45018,0.71024,0.63945,0.6943,0.28348,1.92375,1.50006,1.67589,0.0015644,0.0015644,0.0015644
13,50.623,1.67333,1.47003,1.49188,0.61454,0.6087,0.60364,0.25939,1.87039,1.50117,1.63159,0.0015248,0.0015248,0.0015248
14,54.4326,1.67992,1.43959,1.4831,0.4965,0.5942,0.55321,0.24263,1.88668,1.56155,1.62688,0.0014852,0.0014852,0.0014852
15,58.2534,1.5975,1.38933,1.43673,0.83537,0.63043,0.71235,0.31781,1.85488,1.39547,1.59782,0.0014456,0.0014456,0.0014456
16,62.1377,1.6414,1.3643,1.46142,0.86087,0.62775,0.75168,0.32797,1.9004,1.33816,1.62901,0.001406,0.001406,0.001406
17,65.878,1.6109,1.2785,1.41958,0.75664,0.65217,0.70636,0.31438,1.9072,1.42956,1.68295,0.0013664,0.0013664,0.0013664
18,69.5243,1.60975,1.27134,1.41139,0.76886,0.63043,0.7196,0.29827,1.90101,1.38733,1.63306,0.0013268,0.0013268,0.0013268
19,73.1002,1.60497,1.24095,1.40767,0.77858,0.7029,0.72512,0.32503,1.84875,1.41939,1.60638,0.0012872,0.0012872,0.0012872
20,76.7066,1.58186,1.23431,1.41618,0.72786,0.65217,0.70273,0.3247,1.88765,1.35828,1.64496,0.0012476,0.0012476,0.0012476
21,80.3163,1.5662,1.17516,1.4105,0.7424,0.63043,0.69675,0.31751,1.84189,1.43248,1.59854,0.001208,0.001208,0.001208
22,84.0733,1.54396,1.17379,1.39239,0.64558,0.73188,0.73738,0.34083,1.79522,1.31081,1.55618,0.0011684,0.0011684,0.0011684
23,87.8317,1.5572,1.16826,1.39247,0.64501,0.64516,0.64997,0.289,1.91483,1.41194,1.60226,0.0011288,0.0011288,0.0011288
24,91.4774,1.46655,1.08175,1.33296,0.72914,0.74129,0.70909,0.32188,1.82658,1.27349,1.58274,0.0010892,0.0010892,0.0010892
25,95.1961,1.48639,1.06406,1.3486,0.76177,0.62564,0.68393,0.31801,1.87038,1.37076,1.58759,0.0010496,0.0010496,0.0010496
26,98.9209,1.4484,1.0399,1.32094,0.71526,0.69565,0.70363,0.33035,1.8568,1.24188,1.59705,0.00101,0.00101,0.00101
27,102.724,1.50061,1.03586,1.33661,0.76787,0.66667,0.69055,0.31295,1.89912,1.33437,1.6395,0.0009704,0.0009704,0.0009704
28,106.49,1.46374,1.04695,1.33572,0.75362,0.73145,0.72953,0.32984,1.89598,1.32311,1.67446,0.0009308,0.0009308,0.0009308
29,110.285,1.49893,1.03577,1.35893,0.76818,0.73188,0.70601,0.32001,1.93481,1.27744,1.70038,0.0008912,0.0008912,0.0008912
30,113.958,1.43242,0.97962,1.32978,0.74517,0.71014,0.67414,0.30471,1.88088,1.32302,1.62923,0.0008516,0.0008516,0.0008516
31,117.615,1.42379,0.97735,1.321,0.74909,0.66667,0.69395,0.31719,1.86947,1.33137,1.59428,0.000812,0.000812,0.000812
32,121.271,1.42008,0.97457,1.31076,0.67547,0.67391,0.67039,0.32005,1.87413,1.31606,1.59412,0.0007724,0.0007724,0.0007724
33,124.903,1.38334,0.97272,1.30312,0.75115,0.67808,0.69494,0.31831,1.88921,1.30365,1.60268,0.0007328,0.0007328,0.0007328
34,128.588,1.33531,0.95238,1.26627,0.7486,0.73913,0.7454,0.33479,1.89159,1.19036,1.66816,0.0006932,0.0006932,0.0006932
35,132.164,1.33718,0.92096,1.26067,0.71688,0.7029,0.70079,0.32423,1.90996,1.25036,1.68568,0.0006536,0.0006536,0.0006536
36,135.837,1.32323,0.88884,1.26244,0.72189,0.69594,0.71749,0.32536,1.9229,1.24805,1.68211,0.000614,0.000614,0.000614
37,139.444,1.30455,0.85135,1.23861,0.72283,0.71014,0.68915,0.30155,2.00577,1.2665,1.74236,0.0005744,0.0005744,0.0005744
38,143.058,1.26805,0.81975,1.21652,0.74746,0.68116,0.69469,0.33765,1.89345,1.28135,1.58141,0.0005348,0.0005348,0.0005348
39,146.654,1.29042,0.82501,1.23358,0.72698,0.71739,0.675,0.30181,1.99671,1.29281,1.68466,0.0004952,0.0004952,0.0004952
40,150.368,1.33155,0.87168,1.25728,0.72482,0.74439,0.74136,0.32799,1.94703,1.23234,1.67683,0.0004556,0.0004556,0.0004556
41,154.348,1.24249,0.79415,1.19367,0.80146,0.70206,0.73368,0.33327,1.94329,1.29197,1.65615,0.000416,0.000416,0.000416
42,158.036,1.221,0.74695,1.19052,0.7918,0.74638,0.71184,0.31885,1.95997,1.24602,1.70698,0.0003764,0.0003764,0.0003764
43,161.712,1.18772,0.71804,1.16599,0.75397,0.75503,0.72219,0.31105,1.98629,1.20606,1.75008,0.0003368,0.0003368,0.0003368
44,165.434,1.1748,0.67978,1.14888,0.78365,0.70871,0.72139,0.32105,1.94824,1.19304,1.71514,0.0002972,0.0002972,0.0002972
45,169.219,1.18252,0.67384,1.16412,0.79138,0.78261,0.75962,0.32525,1.97593,1.16551,1.76996,0.0002576,0.0002576,0.0002576
46,172.915,1.10825,0.64664,1.11113,0.81752,0.71014,0.74424,0.33036,1.97534,1.20813,1.73035,0.000218,0.000218,0.000218
47,176.537,1.11993,0.65488,1.12102,0.80133,0.74638,0.73436,0.32599,1.98608,1.21435,1.75478,0.0001784,0.0001784,0.0001784
48,180.185,1.11005,0.62141,1.12317,0.79425,0.72732,0.74909,0.33068,1.97979,1.17312,1.76373,0.0001388,0.0001388,0.0001388
49,183.95,1.09651,0.63506,1.11041,0.80808,0.7628,0.75058,0.33652,1.95443,1.14955,1.73946,9.92e-05,9.92e-05,9.92e-05
50,187.689,1.06002,0.60706,1.09667,0.83834,0.75362,0.75118,0.33462,1.95698,1.15901,1.73306,5.96e-05,5.96e-05,5.96e-05
