filename,xmin,ymin,xmax,ymax,label
1.png,246,77,327,296,1
1.png,323,81,419,300,9
2.png,77,29,100,61,2
2.png,98,25,124,57,3
3.png,17,5,25,20,2
3.png,25,5,34,20,5
4.png,57,13,72,47,9
4.png,72,13,85,47,3
5.png,52,7,73,53,3
5.png,74,10,89,56,1
6.png,28,6,38,27,3
6.png,38,8,49,29,3
7.png,35,10,48,42,2
7.png,47,11,60,43,8
8.png,17,4,24,19,7
8.png,25,4,31,19,4
8.png,31,3,38,18,4
9.png,19,4,33,28,1
9.png,29,4,42,28,2
9.png,38,5,55,29,8
10.png,25,6,34,33,1
10.png,34,4,48,31,6
11.png,22,5,34,31,2
11.png,33,4,42,30,3
12.png,67,16,90,71,6
12.png,90,17,110,72,3
13.png,44,12,61,45,4
13.png,63,13,81,46,2
14.png,35,2,56,44,5
14.png,55,2,78,44,8
15.png,22,8,36,28,1
15.png,33,7,43,27,6
16.png,20,3,27,22,2
16.png,26,1,33,20,3
17.png,23,4,37,26,7
17.png,35,4,47,26,9
18.png,52,12,80,53,5
18.png,80,17,101,58,3
19.png,19,1,26,20,2
19.png,28,1,35,20,2
19.png,36,1,43,20,2
20.png,20,2,31,26,6
20.png,32,1,43,25,2
21.png,72,6,124,91,2
22.png,24,4,34,20,5
22.png,34,5,41,21,1
22.png,40,5,51,21,5
23.png,29,5,50,37,4
23.png,52,5,74,37,7
24.png,233,59,252,93,8
24.png,248,56,269,90,9
25.png,60,11,84,61,6
25.png,87,9,111,59,0
25.png,113,7,134,57,1
26.png,34,7,46,39,2
26.png,49,8,62,40,4
27.png,46,11,72,56,5
27.png,73,8,100,53,6
28.png,31,8,44,41,5
28.png,42,7,52,40,2
29.png,43,14,53,32,1
29.png,51,13,67,31,3
29.png,66,14,71,32,2
30.png,16,1,23,26,1
30.png,25,1,36,26,4
31.png,14,1,24,20,6
31.png,24,1,35,20,3
31.png,36,1,47,20,8
32.png,48,16,65,49,4
32.png,67,19,85,52,3
33.png,27,5,43,38,1
33.png,42,5,60,38,4
34.png,41,13,57,45,4
34.png,54,9,78,41,2
35.png,25,5,32,19,6
36.png,50,9,73,56,4
36.png,72,8,96,55,4
37.png,24,4,30,24,1
37.png,42,2,49,22,1
38.png,87,28,113,85,1
38.png,108,22,145,79,7
39.png,62,19,75,59,3
39.png,74,20,83,60,1
40.png,61,9,89,70,2
40.png,93,17,121,78,0
41.png,38,10,49,45,4
41.png,50,9,63,44,2
42.png,110,27,135,78,2
42.png,131,36,161,87,5
42.png,159,36,185,87,1
43.png,87,24,118,75,2
43.png,119,20,145,71,9
44.png,19,3,32,29,2
44.png,32,3,40,29,0
44.png,40,3,47,29,4
45.png,35,3,43,34,1
45.png,44,4,56,35,0
46.png,136,87,185,191,3
46.png,201,44,242,148,2
46.png,257,18,310,122,7
47.png,14,2,20,17,2
47.png,20,1,25,16,4
48.png,74,20,102,70,4
48.png,103,17,132,67,6
49.png,65,18,101,63,8
49.png,102,15,128,60,1
49.png,132,16,160,61,7
50.png,58,27,69,53,1
50.png,74,22,89,48,0
50.png,95,17,110,43,3
51.png,47,7,63,52,9
51.png,66,9,75,54,1
52.png,45,12,68,50,3
52.png,74,11,102,49,5
53.png,160,34,219,118,9
53.png,208,18,260,102,3
54.png,36,10,54,55,1
54.png,56,8,77,53,1
55.png,116,27,131,62,1
55.png,128,29,138,64,1
55.png,137,29,154,64,3
55.png,151,26,168,61,7
56.png,22,4,31,24,5
56.png,35,3,44,23,6
57.png,63,38,79,63,2
57.png,74,26,89,51,1
57.png,83,12,102,37,5
58.png,45,6,64,52,1
58.png,65,2,82,48,1
59.png,35,3,54,45,2
60.png,16,1,25,21,4
60.png,25,1,32,21,7
61.png,33,6,42,25,5
62.png,45,6,69,52,3
62.png,61,8,86,54,2
